timestamp,funding_rate,mark_price
2026-03-01T00:00:00.005000+00:00,-0.00011824,0.08432830
2026-03-01T08:00:00+00:00,-0.00018455,0.08561000
2026-03-01T16:00:00.002000+00:00,-0.00012703,0.08355000
2026-03-02T00:00:00.001000+00:00,0.00010000,0.08245000
2026-03-02T08:00:00.007000+00:00,-0.00022733,0.08231000
2026-03-02T16:00:00+00:00,0.00010000,0.08745331
2026-03-03T00:00:00+00:00,-0.00050298,0.08508000
2026-03-03T08:00:00+00:00,-0.00045217,0.08457000
2026-03-03T16:00:00.007000+00:00,-0.00033902,0.08366203
2026-03-04T00:00:00.001000+00:00,-0.00033603,0.08405000
2026-03-04T08:00:00.005000+00:00,-0.00021522,0.08466099
2026-03-04T16:00:00+00:00,-0.00019858,0.08895051
2026-03-05T00:00:00+00:00,-0.00030675,0.08680242
2026-03-05T08:00:00+00:00,-0.00017596,0.08589946
2026-03-05T16:00:00.004000+00:00,-0.00031648,0.08465000
2026-03-06T00:00:00.001000+00:00,-0.00038674,0.08433391
2026-03-06T08:00:00.001000+00:00,-0.00020253,0.08520434
2026-03-06T16:00:00.004000+00:00,-0.00055755,0.08040997
2026-03-07T00:00:00.001000+00:00,-0.00054142,0.08091000
2026-03-07T08:00:00.012000+00:00,-0.00053318,0.08025024
2026-03-07T16:00:00.001000+00:00,-0.00048434,0.07954630
2026-03-08T00:00:00.001000+00:00,-0.00019586,0.07905181
2026-03-08T08:00:00+00:00,-0.00038626,0.07895898
2026-03-08T16:00:00.002000+00:00,-0.00041986,0.07803000
2026-03-09T00:00:00+00:00,-0.00015779,0.07768000
2026-03-09T08:00:00.004000+00:00,-0.00018254,0.07998595
2026-03-09T16:00:00.003000+00:00,-0.00015154,0.08151675
2026-03-10T00:00:00.012000+00:00,-0.00035866,0.08066004
2026-03-10T08:00:00.002000+00:00,-0.00009185,0.08202728
2026-03-10T16:00:00.001000+00:00,-0.00010811,0.08372000
2026-03-11T00:00:00+00:00,-0.00012089,0.08131657
2026-03-11T08:00:00.007000+00:00,-0.00023668,0.08103000
2026-03-11T16:00:00.010000+00:00,-0.00043219,0.08261000
2026-03-12T00:00:00+00:00,0.00010000,0.08262000
2026-03-12T08:00:00+00:00,-0.00036747,0.08160000
2026-03-12T16:00:00+00:00,-0.00022980,0.08165000
2026-03-13T00:00:00.006000+00:00,-0.00014023,0.08260000
2026-03-13T08:00:00.001000+00:00,-0.00009648,0.08434000
2026-03-13T16:00:00+00:00,-0.00005682,0.08559000
2026-03-14T00:00:00.001000+00:00,0.00002975,0.08425325
2026-03-14T08:00:00+00:00,-0.00035939,0.08264000
2026-03-14T16:00:00.007000+00:00,-0.00041569,0.08209792
2026-03-15T00:00:00+00:00,-0.00056844,0.08244126
2026-03-15T08:00:00+00:00,-0.00020644,0.08293000
2026-03-15T16:00:00+00:00,-0.00039325,0.08314000
2026-03-16T00:00:00+00:00,-0.00009669,0.08501000
2026-03-16T08:00:00.010000+00:00,0.00010000,0.08799000
2026-03-16T16:00:00+00:00,0.00010000,0.08665173
2026-03-17T00:00:00+00:00,0.00010000,0.08999000
2026-03-17T08:00:00.002000+00:00,0.00010000,0.08820000
2026-03-17T16:00:00.011000+00:00,-0.00014682,0.08808371
2026-03-18T00:00:00.002000+00:00,0.00010000,0.08827000
2026-03-18T08:00:00.002000+00:00,0.00010000,0.08891502
2026-03-18T16:00:00.005000+00:00,-0.00003134,0.08347000
2026-03-19T00:00:00+00:00,-0.00000380,0.08408809
2026-03-19T08:00:00.003000+00:00,-0.00029661,0.08265142
2026-03-19T16:00:00.003000+00:00,-0.00008149,0.08137810
2026-03-20T00:00:00.002000+00:00,-0.00011679,0.08138000
2026-03-20T08:00:00+00:00,-0.00018841,0.08246034
2026-03-20T16:00:00+00:00,-0.00058098,0.08231000
2026-03-21T00:00:00+00:00,-0.00010214,0.08179000
2026-03-21T08:00:00+00:00,-0.00030183,0.08130000
2026-03-21T16:00:00.014000+00:00,0.00005718,0.08171809
2026-03-22T00:00:00.012000+00:00,-0.00055194,0.07890292
2026-03-22T08:00:00.007000+00:00,0.00002592,0.07854178
2026-03-22T16:00:00.002000+00:00,-0.00014649,0.07809246
2026-03-23T00:00:00+00:00,-0.00006257,0.07680156
2026-03-23T08:00:00.003000+00:00,-0.00043239,0.07697000
2026-03-23T16:00:00.002000+00:00,-0.00015404,0.07995205
2026-03-24T00:00:00+00:00,0.00010000,0.08100000
2026-03-24T08:00:00+00:00,-0.00012855,0.08090000
2026-03-24T16:00:00.003000+00:00,0.00001129,0.07987043
2026-03-25T00:00:00+00:00,-0.00009931,0.08168000
2026-03-25T08:00:00+00:00,-0.00002625,0.08208000
2026-03-25T16:00:00.013000+00:00,0.00006421,0.08177008
2026-03-26T00:00:00.001000+00:00,-0.00025271,0.08168000
2026-03-26T08:00:00.001000+00:00,-0.00021198,0.07926000
2026-03-26T16:00:00+00:00,-0.00001223,0.07710000
2026-03-27T00:00:00.006000+00:00,0.00010000,0.07688919
2026-03-27T08:00:00+00:00,-0.00050359,0.07705000
2026-03-27T16:00:00+00:00,-0.00039637,0.07294800
2026-03-28T00:00:00.005000+00:00,-0.00027896,0.07340000
2026-03-28T08:00:00.005000+00:00,-0.00028379,0.07391053
2026-03-28T16:00:00+00:00,-0.00018242,0.07454000
2026-03-29T00:00:00.003000+00:00,-0.00035161,0.07337700
2026-03-29T08:00:00.001000+00:00,-0.00042067,0.07348000
2026-03-29T16:00:00+00:00,-0.00023131,0.07276973
2026-03-30T00:00:00+00:00,-0.00018934,0.07208000
2026-03-30T08:00:00.005000+00:00,-0.00018181,0.07522000
2026-03-30T16:00:00+00:00,-0.00007221,0.07452000
2026-03-31T00:00:00+00:00,-0.00029038,0.07365000
2026-03-31T08:00:00+00:00,-0.00006843,0.07428000
2026-03-31T16:00:00+00:00,-0.00008205,0.07332473
2026-04-01T00:00:00+00:00,-0.00002163,0.07560001
2026-04-01T08:00:00+00:00,0.00008404,0.07792324
2026-04-01T16:00:00+00:00,0.00010000,0.07812277
2026-04-02T00:00:00.003000+00:00,-0.00000146,0.07677000
2026-04-02T08:00:00.001000+00:00,-0.00010662,0.07490686
2026-04-02T16:00:00.001000+00:00,-0.00019618,0.07371000
2026-04-03T00:00:00+00:00,-0.00018805,0.07335533
2026-04-03T08:00:00.008000+00:00,-0.00010937,0.07592000
2026-04-03T16:00:00.008000+00:00,0.00010000,0.07654461
2026-04-04T00:00:00+00:00,0.00010000,0.07666000
2026-04-04T08:00:00.003000+00:00,0.00010000,0.07767000
2026-04-04T16:00:00+00:00,0.00004437,0.07680794
2026-04-05T00:00:00.008000+00:00,-0.00000894,0.07709000
2026-04-05T08:00:00+00:00,-0.00010693,0.07513193
2026-04-05T16:00:00.001000+00:00,-0.00004288,0.07491000
2026-04-06T00:00:00.004000+00:00,0.00000351,0.07621505
2026-04-06T08:00:00.001000+00:00,0.00004935,0.07760000
2026-04-06T16:00:00.003000+00:00,0.00010000,0.07785983
2026-04-07T00:00:00+00:00,-0.00008844,0.07641724
2026-04-07T08:00:00+00:00,-0.00010926,0.07598000
2026-04-07T16:00:00+00:00,-0.00009677,0.07497000
2026-04-08T00:00:00+00:00,0.00010000,0.08082700
2026-04-08T08:00:00+00:00,0.00010000,0.08036000
2026-04-08T16:00:00.006000+00:00,0.00010000,0.07874317
2026-04-09T00:00:00+00:00,-0.00014613,0.07767541
2026-04-09T08:00:00.010000+00:00,-0.00019271,0.07654633
2026-04-09T16:00:00.001000+00:00,-0.00018320,0.07849000
2026-04-10T00:00:00+00:00,0.00005821,0.07832000
2026-04-10T08:00:00.005000+00:00,-0.00024014,0.07724000
2026-04-10T16:00:00+00:00,-0.00018608,0.07727838
2026-04-11T00:00:00+00:00,0.00001468,0.07784333
2026-04-11T08:00:00+00:00,-0.00023135,0.07657000
2026-04-11T16:00:00.003000+00:00,-0.00021274,0.07645900
2026-04-12T00:00:00+00:00,-0.00020351,0.07759000
2026-04-12T08:00:00+00:00,-0.00043379,0.07502829
2026-04-12T16:00:00+00:00,-0.00054859,0.07497000
2026-04-13T00:00:00.011000+00:00,-0.00024991,0.07464000
2026-04-13T08:00:00.006000+00:00,-0.00040214,0.07466000
2026-04-13T16:00:00+00:00,0.00010000,0.07543767
2026-04-14T00:00:00.005000+00:00,0.00010000,0.07978216
2026-04-14T08:00:00.003000+00:00,0.00010000,0.07759000
2026-04-14T16:00:00.001000+00:00,0.00003181,0.07753000
2026-04-15T00:00:00+00:00,-0.00003833,0.07617467
2026-04-15T08:00:00+00:00,-0.00015702,0.07671000
2026-04-15T16:00:00+00:00,0.00010000,0.07815000
2026-04-16T00:00:00.013000+00:00,0.00010000,0.07898000
2026-04-16T08:00:00+00:00,0.00010000,0.08025000
2026-04-16T16:00:00+00:00,0.00010000,0.08187027
2026-04-17T00:00:00.001000+00:00,0.00010000,0.08389800
2026-04-17T08:00:00.011000+00:00,0.00010000,0.08289486
2026-04-17T16:00:00.001000+00:00,0.00004251,0.08468000
2026-04-18T00:00:00.001000+00:00,-0.00000349,0.08386374
2026-04-18T08:00:00.006000+00:00,0.00004699,0.08516000
2026-04-18T16:00:00+00:00,-0.00011149,0.08248017
2026-04-19T00:00:00.002000+00:00,-0.00014822,0.08012000
2026-04-19T08:00:00.010000+00:00,-0.00008099,0.07897500
2026-04-19T16:00:00.001000+00:00,-0.00013013,0.08032703
2026-04-20T00:00:00+00:00,0.00003835,0.07718000
2026-04-20T08:00:00+00:00,-0.00001488,0.07853000
2026-04-20T16:00:00.001000+00:00,-0.00003919,0.07967000
2026-04-21T00:00:00+00:00,0.00010000,0.08007000
2026-04-21T08:00:00.004000+00:00,0.00006365,0.07922000
2026-04-21T16:00:00.004000+00:00,0.00010000,0.07782000
2026-04-22T00:00:00.004000+00:00,-0.00008975,0.07840177
2026-04-22T08:00:00+00:00,0.00010000,0.07903603
2026-04-22T16:00:00+00:00,-0.00017433,0.07835267
2026-04-23T00:00:00+00:00,-0.00013648,0.07695000
2026-04-23T08:00:00+00:00,-0.00009228,0.07614245
2026-04-23T16:00:00.004000+00:00,0.00004437,0.07709000
2026-04-24T00:00:00.006000+00:00,0.00010000,0.07660000
2026-04-24T08:00:00+00:00,-0.00003844,0.07680000
2026-04-24T16:00:00+00:00,0.00010000,0.07863914
2026-04-25T00:00:00+00:00,0.00010000,0.07878285
2026-04-25T08:00:00.002000+00:00,0.00006645,0.08216000
2026-04-25T16:00:00.002000+00:00,-0.00001015,0.07960000
2026-04-26T00:00:00.003000+00:00,0.00007520,0.08201000
2026-04-26T08:00:00.007000+00:00,0.00010000,0.08000000
2026-04-26T16:00:00.004000+00:00,0.00005213,0.08233961
2026-04-27T00:00:00.004000+00:00,0.00010000,0.08088560
2026-04-27T08:00:00+00:00,0.00000903,0.07792305
2026-04-27T16:00:00.002000+00:00,-0.00010694,0.07666000
2026-04-28T00:00:00.001000+00:00,0.00010000,0.07770000
2026-04-28T08:00:00+00:00,-0.00002795,0.07696000
2026-04-28T16:00:00.004000+00:00,0.00007139,0.07632486
2026-04-29T00:00:00.006000+00:00,0.00005234,0.07664000
2026-04-29T08:00:00.011000+00:00,-0.00004462,0.07730814
2026-04-29T16:00:00.003000+00:00,-0.00025384,0.07390000
2026-04-30T00:00:00.002000+00:00,-0.00045681,0.07225000
2026-04-30T08:00:00+00:00,-0.00005227,0.07332000
2026-04-30T16:00:00+00:00,0.00010000,0.07234000
2026-05-01T00:00:00+00:00,0.00002345,0.07230083
2026-05-01T08:00:00.005000+00:00,0.00003648,0.07205767
2026-05-01T16:00:00+00:00,0.00002823,0.07301622
2026-05-02T00:00:00.006000+00:00,-0.00006404,0.07164000
2026-05-02T08:00:00+00:00,-0.00027213,0.07142000
2026-05-02T16:00:00.010000+00:00,0.00007528,0.07207053
2026-05-03T00:00:00.005000+00:00,-0.00003635,0.07278000
2026-05-03T08:00:00.003000+00:00,-0.00006323,0.07240333
2026-05-03T16:00:00+00:00,0.00002104,0.07230973
2026-05-04T00:00:00+00:00,0.00001168,0.07178000
2026-05-04T08:00:00+00:00,0.00010000,0.07351317
2026-05-04T16:00:00.003000+00:00,0.00005736,0.07281969
2026-05-05T00:00:00+00:00,0.00000068,0.07279000
2026-05-05T08:00:00.011000+00:00,0.00005936,0.07472000
2026-05-05T16:00:00+00:00,0.00005206,0.07424000
2026-05-06T00:00:00.010000+00:00,0.00003155,0.07499000
2026-05-06T08:00:00+00:00,0.00000832,0.07647000
2026-05-06T16:00:00.002000+00:00,0.00010000,0.07675433
