timestamp,open,high,low,close,volume
2026-03-01T00:00:00+00:00,31.204,31.3,30.161,30.89,3364207.1
2026-03-01T04:00:00+00:00,30.892,31.537,30.631,30.915,1877756.98
2026-03-01T08:00:00+00:00,30.916,31.2,30.419,31.036,2071403.62
2026-03-01T12:00:00+00:00,31.035,31.613,30.592,31.392,2317426.59
2026-03-01T16:00:00+00:00,31.393,31.915,30.721,31.575,3915508.38
2026-03-01T20:00:00+00:00,31.576,32.327,31.2,31.53,3055569.86
2026-03-02T00:00:00+00:00,31.53,32.764,31.491,32.027,3295328.26
2026-03-02T04:00:00+00:00,32.027,32.069,29.916,30.317,3442734.78
2026-03-02T08:00:00+00:00,30.318,30.78,30.181,30.688,1995998.75
2026-03-02T12:00:00+00:00,30.687,32.528,30.342,32.159,4635407.1
2026-03-02T16:00:00+00:00,32.16,33.69,31.93,32.429,4413016.66
2026-03-02T20:00:00+00:00,32.429,33.249,31.915,32.809,2106620.11
2026-03-03T00:00:00+00:00,32.808,33.289,32.252,32.969,1916038.57
2026-03-03T04:00:00+00:00,32.969,33.545,32.308,33.022,2409911.4
2026-03-03T08:00:00+00:00,33.02,33.044,31.54,31.92,2678330.18
2026-03-03T12:00:00+00:00,31.92,32.405,31.0,31.889,2795463.18
2026-03-03T16:00:00+00:00,31.885,32.856,31.665,31.772,2976658.05
2026-03-03T20:00:00+00:00,31.775,31.897,30.8,31.288,1934044.22
2026-03-04T00:00:00+00:00,31.289,31.648,30.712,30.969,1609752.99
2026-03-04T04:00:00+00:00,30.969,32.227,30.768,32.18,1612164.69
2026-03-04T08:00:00+00:00,32.177,32.994,31.748,32.543,3173199.76
2026-03-04T12:00:00+00:00,32.542,33.199,32.112,33.113,2709090.92
2026-03-04T16:00:00+00:00,33.11,33.207,32.0,32.418,2232269.65
2026-03-04T20:00:00+00:00,32.415,32.52,31.357,32.145,1965470.04
2026-03-05T00:00:00+00:00,32.145,32.223,31.286,31.484,1496516.37
2026-03-05T04:00:00+00:00,31.483,31.859,31.34,31.538,1002543.85
2026-03-05T08:00:00+00:00,31.539,32.29,31.509,31.795,1730615.91
2026-03-05T12:00:00+00:00,31.796,32.073,30.923,31.287,2355894.4
2026-03-05T16:00:00+00:00,31.287,31.29,30.231,30.37,1919231.58
2026-03-05T20:00:00+00:00,30.37,30.951,30.37,30.535,874064.54
2026-03-06T00:00:00+00:00,30.536,30.736,30.333,30.653,927762.83
2026-03-06T04:00:00+00:00,30.652,31.135,30.486,30.797,1145656.7
2026-03-06T08:00:00+00:00,30.797,30.887,30.162,30.349,942953.23
2026-03-06T12:00:00+00:00,30.349,30.857,29.509,29.842,2958368.8
2026-03-06T16:00:00+00:00,29.843,30.5,29.435,30.356,1537922.07
2026-03-06T20:00:00+00:00,30.356,31.318,30.314,31.019,1987474.11
2026-03-07T00:00:00+00:00,31.018,31.099,30.595,30.759,916367.11
2026-03-07T04:00:00+00:00,30.759,30.77,30.25,30.434,885805.47
2026-03-07T08:00:00+00:00,30.434,31.064,30.269,30.894,1188038.4
2026-03-07T12:00:00+00:00,30.894,31.1,30.593,30.706,966578.5
2026-03-07T16:00:00+00:00,30.706,30.945,29.783,30.152,1619839.25
2026-03-07T20:00:00+00:00,30.151,30.308,29.86,30.288,878485.57
2026-03-08T00:00:00+00:00,30.288,30.359,30.003,30.066,860068.88
2026-03-08T04:00:00+00:00,30.066,30.25,29.667,30.165,834075.77
2026-03-08T08:00:00+00:00,30.164,30.658,30.03,30.32,1476711.25
2026-03-08T12:00:00+00:00,30.321,30.8,30.051,30.517,1133070.3
2026-03-08T16:00:00+00:00,30.517,30.764,30.08,30.764,894744.68
2026-03-08T20:00:00+00:00,30.763,31.278,30.079,30.685,2018238.7
2026-03-09T00:00:00+00:00,30.685,31.417,30.237,30.514,2238791.72
2026-03-09T04:00:00+00:00,30.514,31.076,30.38,30.683,1558210.34
2026-03-09T08:00:00+00:00,30.684,31.457,30.658,31.388,1399599.63
2026-03-09T12:00:00+00:00,31.389,33.473,31.37,32.382,6543942.81
2026-03-09T16:00:00+00:00,32.382,34.815,32.349,34.095,6513119.28
2026-03-09T20:00:00+00:00,34.094,35.364,33.92,34.661,2797139.97
2026-03-10T00:00:00+00:00,34.66,34.75,33.435,34.717,3456306.65
2026-03-10T04:00:00+00:00,34.717,34.857,33.845,34.536,1779626.39
2026-03-10T08:00:00+00:00,34.536,35.2,34.511,34.914,2022779.14
2026-03-10T12:00:00+00:00,34.914,35.171,33.923,34.79,3554355.32
