timestamp,funding_rate,mark_price
2026-03-01T00:00:00.005000+00:00,-0.00029180,1.17128932
2026-03-01T08:00:00+00:00,0.00010000,1.20187321
2026-03-01T16:00:00.002000+00:00,-0.00007039,1.15100000
2026-03-02T00:00:00.001000+00:00,0.00010000,1.14900000
2026-03-02T08:00:00.007000+00:00,-0.00007306,1.20200000
2026-03-02T16:00:00+00:00,-0.00025037,1.30700000
2026-03-03T00:00:00+00:00,0.00003853,1.35884532
2026-03-03T08:00:00+00:00,-0.00000805,1.34386310
2026-03-03T16:00:00.007000+00:00,-0.00009253,1.39055008
2026-03-04T00:00:00.001000+00:00,-0.00011318,1.35584984
2026-03-04T08:00:00.005000+00:00,0.00004586,1.36600000
2026-03-04T16:00:00+00:00,-0.00007261,1.35700000
2026-03-05T00:00:00+00:00,0.00010000,1.31100000
2026-03-05T08:00:00+00:00,-0.00012796,1.29500000
2026-03-05T16:00:00.004000+00:00,0.00008235,1.27018896
2026-03-06T00:00:00.001000+00:00,0.00010000,1.27166691
2026-03-06T08:00:00.001000+00:00,-0.00007643,1.26833771
2026-03-06T16:00:00.004000+00:00,0.00010000,1.22922224
2026-03-07T00:00:00.001000+00:00,0.00010000,1.22593348
2026-03-07T08:00:00.012000+00:00,0.00000908,1.21349531
2026-03-07T16:00:00.001000+00:00,-0.00009201,1.22100000
2026-03-08T00:00:00.001000+00:00,-0.00012007,1.21300000
2026-03-08T08:00:00+00:00,-0.00002081,1.20068645
2026-03-08T16:00:00.002000+00:00,-0.00051825,1.21400000
2026-03-09T00:00:00+00:00,-0.00041414,1.21100000
2026-03-09T08:00:00.004000+00:00,-0.00047239,1.24013913
2026-03-09T16:00:00.003000+00:00,-0.00013006,1.25302330
2026-03-10T00:00:00.012000+00:00,-0.00013051,1.23339843
2026-03-10T08:00:00.002000+00:00,-0.00006402,1.27910972
2026-03-10T16:00:00.001000+00:00,-0.00009156,1.30410369
2026-03-11T00:00:00+00:00,0.00010000,1.28400000
